INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
232888017,08/29/2021,17:44:00,QUEENS,106,0,GAS STATION,true,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,"1,028,502","187,094",40.68010417800008,-73.840456224,POINT (-73.840456224 40.68010417800008)
226705489,04/08/2021,23:51:00,BRONX,47,0,,false,,,,18-24,M,BLACK,"1,023,511","258,943",40.877333943000046,-73.85803081299997,POINT (-73.85803081299997 40.877333943000046)
229643175,06/16/2021,18:32:00,QUEENS,105,0,,false,,,,25-44,M,BLACK,"1,053,690","187,533",40.68114737700005,-73.74963982599996,POINT (-73.74963982599996 40.68114737700005)
230247119,06/30/2021,00:52:00,MANHATTAN,32,0,,false,,,,25-44,M,BLACK,"999,879","236,455",40.815684487000055,-73.94353822199997,POINT (-73.94353822199997 40.815684487000055)
233588118,09/15/2021,01:13:00,MANHATTAN,25,0,,false,,,,25-44,M,BLACK,"1,001,508","232,696",40.80536404400005,-73.93766276299993,POINT (-73.93766276299993 40.80536404400005)
231053194,07/19/2021,01:25:00,MANHATTAN,33,0,,false,,,,18-24,M,WHITE HISPANIC,"1,001,891","245,600",40.84078110900003,-73.936245382,POINT (-73.936245382 40.84078110900003)
228798151,05/27/2021,21:30:00,QUEENS,105,0,,false,,,,18-24,M,BLACK,"1,058,925","180,924",40.662964620000025,-73.73083868899994,POINT (-73.73083868899994 40.662964620000025)
229848041,06/19/2021,01:55:00,BRONX,41,0,,true,25-44,M,BLACK,25-44,M,BLACK,"1,011,153","235,312",40.812520134000074,-73.90281300199997,POINT (-73.90281300199997 40.812520134000074)
230805643,07/13/2021,20:00:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,"1,018,491","183,591",40.670533625000076,-73.87656741199999,POINT (-73.87656741199999 40.670533625000076)
233790860,09/18/2021,23:17:00,BRONX,44,0,,false,,,,18-24,F,BLACK HISPANIC,"1,010,270","246,284",40.84263777600006,-73.90596032999997,POINT (-73.90596032999997 40.84263777600006)
232733332,08/25/2021,15:50:00,STATEN ISLAND,120,0,BEAUTY/NAIL SALON,false,,,,<18,F,WHITE HISPANIC,"962,505","171,812",40.638242355000045,-74.078351189,POINT (-74.078351189 40.638242355000045)
232592201,08/21/2021,12:10:00,BROOKLYN,83,0,,false,25-44,M,BLACK,25-44,M,BLACK HISPANIC,"1,006,501","193,954",40.69901593900005,-73.91975543899997,POINT (-73.91975543899997 40.69901593900005)
225295736,03/07/2021,06:15:00,BROOKLYN,75,0,,true,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,020,492","187,865",40.68225681500007,-73.86933111399996,POINT (-73.86933111399996 40.68225681500007)
227647472,05/02/2021,02:38:00,BROOKLYN,67,0,,false,,,,18-24,M,BLACK,"999,809","172,040",40.63888119800004,-73.94394003499998,POINT (-73.94394003499998 40.63888119800004)
228482608,05/20/2021,23:56:00,BRONX,48,0,,false,<18,M,WHITE HISPANIC,<18,M,BLACK,"1,016,871","247,292",40.84538252100003,-73.88209820999998,POINT (-73.88209820999998 40.84538252100003)
226849321,04/13/2021,00:00:00,MANHATTAN,32,0,,false,<18,M,BLACK,18-24,M,BLACK,"999,900","238,685",40.82180517200004,-73.94345715499998,POINT (-73.94345715499998 40.82180517200004)
228062046,05/12/2021,04:53:00,BRONX,46,0,MULTI DWELL - APT BUILD,true,,,,18-24,M,BLACK,"1,007,160","247,651",40.84639840500005,-73.91719577199996,POINT (-73.91719577199996 40.84639840500005)
230234503,06/29/2021,19:14:00,QUEENS,102,0,,false,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,"1,021,828","190,928",40.69065847000007,-73.86449709799997,POINT (-73.86449709799997 40.69065847000007)
228369050,05/18/2021,00:31:00,MANHATTAN,34,0,,false,25-44,M,BLACK,45-64,F,BLACK HISPANIC,"1,004,856","254,409",40.86495277100005,-73.92550254999998,POINT (-73.92550254999998 40.86495277100005)
225063425,03/02/2021,02:00:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,false,25-44,M,BLACK,25-44,M,BLACK,"1,004,975","183,973",40.67162408600007,-73.925289503,POINT (-73.925289503 40.67162408600007)
229283289,06/08/2021,09:52:00,BRONX,43,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,020,518","242,653",40.83263560100005,-73.86894183199998,POINT (-73.86894183199998 40.83263560100005)
223505520,01/22/2021,17:00:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,"1,026,382","237,309",40.81794183300008,-73.84778502199998,POINT (-73.84778502199998 40.81794183300008)
228255820,05/14/2021,23:04:00,BRONX,47,0,,false,,,,18-24,M,BLACK,"1,026,652","258,312",40.87558751500006,-73.84667674199994,POINT (-73.84667674199994 40.87558751500006)
227647477,05/02/2021,20:24:00,BROOKLYN,81,0,,true,45-64,M,BLACK,45-64,M,BLACK,"1,004,546","189,469",40.68671035300008,-73.92681945999993,POINT (-73.92681945999993 40.68671035300008)
225620487,03/13/2021,00:56:00,QUEENS,105,0,,true,,,,18-24,M,BLACK,"1,057,766","200,401",40.71643396600007,-73.73480369099997,POINT (-73.73480369099997 40.71643396600007)
229904043,06/22/2021,02:39:00,STATEN ISLAND,120,0,PVT HOUSE,true,25-44,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,"960,272","171,100",40.636282304000076,-74.086394409,POINT (-74.086394409 40.636282304000076)
233149851,09/04/2021,20:18:00,MANHATTAN,32,0,,false,<18,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,"998,593","235,938",40.814267648000055,-73.94818528599995,POINT (-73.94818528599995 40.814267648000055)
232946699,08/31/2021,00:40:00,QUEENS,101,0,,false,,,,25-44,M,BLACK,"1,053,639","158,980",40.602776230000075,-73.75011736499994,POINT (-73.75011736499994 40.602776230000075)
226598085,04/06/2021,16:10:00,BROOKLYN,70,0,,false,,,,45-64,M,BLACK HISPANIC,"994,431","176,337",40.650683352000044,-73.96331128799993,POINT (-73.96331128799993 40.650683352000044)
224556085,02/18/2021,13:09:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"1,009,910","184,163",40.67213266600004,-73.90749851699996,POINT (-73.90749851699996 40.67213266600004)
233429422,09/11/2021,15:13:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,"1,006,376","181,512",40.66486580000004,-73.92024708999998,POINT (-73.92024708999998 40.66486580000004)
232181257,08/12/2021,21:55:00,QUEENS,102,0,,true,,,,18-24,M,ASIAN / PACIFIC ISLANDER,"1,030,805","193,117",40.69662409100005,-73.83211143799997,POINT (-73.83211143799997 40.69662409100005)
231352385,07/23/2021,06:30:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,,,,<18,M,BLACK,"1,007,753","235,353",40.81264236700008,-73.91509552299993,POINT (-73.91509552299993 40.81264236700008)
228262995,05/15/2021,21:07:00,BRONX,44,0,,true,18-24,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,"1,010,688","245,851",40.841448077000045,-73.90445130899997,POINT (-73.90445130899997 40.841448077000045)
227431725,04/27/2021,18:15:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,F,WHITE,"1,021,249","260,648",40.88202340700008,-73.86620093899995,POINT (-73.86620093899995 40.88202340700008)
227182807,04/21/2021,01:15:00,MANHATTAN,34,0,,false,25-44,M,BLACK,18-24,M,WHITE HISPANIC,"1,006,930","254,095",40.864085852000066,-73.91800528099996,POINT (-73.91800528099996 40.864085852000066)
228367829,05/18/2021,23:27:00,BRONX,40,0,,true,,,,25-44,M,WHITE HISPANIC,"1,005,530","233,943",40.808777943000045,-73.923130702,POINT (-73.923130702 40.808777943000045)
229848438,06/20/2021,21:28:00,BRONX,43,0,,false,,,,18-24,M,WHITE HISPANIC,"1,021,101","244,446",40.83755445000003,-73.86682522999998,POINT (-73.86682522999998 40.83755445000003)
230805644,07/13/2021,18:13:00,MANHATTAN,25,0,,false,18-24,M,BLACK,45-64,M,BLACK,"999,400","231,576",40.80229381800007,-73.94527972599997,POINT (-73.94527972599997 40.80229381800007)
226654024,04/07/2021,00:24:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,true,18-24,M,BLACK,18-24,M,BLACK,"1,011,763","244,572",40.837934311000026,-73.90057137799994,POINT (-73.90057137799994 40.837934311000026)
227950665,05/08/2021,16:55:00,MANHATTAN,14,0,,false,25-44,M,BLACK,18-24,F,WHITE HISPANIC,"988,191","215,312",40.75766554000006,-73.98577611499996,POINT (-73.98577611499996 40.75766554000006)
226503934,04/04/2021,21:05:00,BRONX,48,0,,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,"1,013,843","249,122",40.85041599500005,-73.89303433099997,POINT (-73.89303433099997 40.85041599500005)
233210855,09/07/2021,00:30:00,BROOKLYN,81,0,,false,,,,25-44,M,BLACK,"1,006,482","189,763",40.687512664000046,-73.91983779199995,POINT (-73.91983779199995 40.687512664000046)
224410635,02/15/2021,15:00:00,BRONX,43,0,,false,18-24,M,WHITE HISPANIC,25-44,M,BLACK,"1,020,475","244,133",40.83669794600007,-73.86908922599997,POINT (-73.86908922599997 40.83669794600007)
231753869,08/03/2021,15:00:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,"1,007,588","179,461",40.65923314900005,-73.91588547299993,POINT (-73.91588547299993 40.65923314900005)
223198985,01/16/2021,12:39:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK,"1,000,828","240,293",40.826216983000045,-73.94010026799998,POINT (-73.94010026799998 40.826216983000045)
228109389,05/12/2021,23:10:00,BROOKLYN,77,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,000,582","185,100",40.67472664100006,-73.94112317399998,POINT (-73.94112317399998 40.67472664100006)
226450222,04/02/2021,13:25:00,BROOKLYN,61,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,M,BLACK,"995,118","155,709",40.59406298000005,-73.96086869299995,POINT (-73.96086869299995 40.59406298000005)
229283288,06/08/2021,15:37:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"998,625","230,177",40.798455240000074,-73.94808201499995,POINT (-73.94808201499995 40.798455240000074)
228918106,05/31/2021,17:50:00,BROOKLYN,71,0,,false,,,,18-24,M,BLACK,"997,935","182,677",40.66808053600005,-73.95067075499998,POINT (-73.95067075499998 40.66808053600005)
230193606,06/28/2021,20:01:00,BROOKLYN,73,0,,false,,,,45-64,M,BLACK,"1,009,055","178,206",40.65578446200004,-73.91060265899995,POINT (-73.91060265899995 40.65578446200004)
227551204,04/29/2021,19:30:00,BROOKLYN,90,0,RESTAURANT/DINER,false,18-24,M,BLACK,25-44,M,WHITE,"994,854","197,852",40.70973665300004,-73.96175303399998,POINT (-73.96175303399998 40.70973665300004)
229822332,06/19/2021,22:00:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,"1,005,372","183,781",40.67109615100002,-73.92385895099994,POINT (-73.92385895099994 40.67109615100002)
226139020,03/25/2021,17:33:00,BROOKLYN,79,0,,false,,,,18-24,M,BLACK,"999,954","187,272",40.68068942600007,-73.94338210699993,POINT (-73.94338210699993 40.68068942600007)
227384910,04/26/2021,22:56:00,BRONX,44,0,,false,,,,18-24,M,BLACK,"1,008,187","241,345",40.82908754500005,-73.91350629999994,POINT (-73.91350629999994 40.82908754500005)
232390407,08/17/2021,13:00:00,BRONX,41,0,COMMERCIAL BLDG,true,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,"1,015,966","235,235",40.812292824000046,-73.885426178,POINT (-73.885426178 40.812292824000046)
223631685,01/27/2021,00:11:00,BRONX,44,0,,false,,,,25-44,M,BLACK,"1,005,142","246,043",40.84198992200004,-73.92449461799998,POINT (-73.92449461799998 40.84198992200004)
222524733,01/01/2021,00:16:00,QUEENS,108,0,,false,,,,18-24,M,BLACK,"998,549","213,987",40.75401807000002,-73.94839096099996,POINT (-73.94839096099996 40.75401807000002)
228630118,05/24/2021,20:22:00,QUEENS,105,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,057,434","197,407",40.70821893700002,-73.73603386899998,POINT (-73.73603386899998 40.70821893700002)
229169935,06/06/2021,02:28:00,QUEENS,106,0,,false,18-24,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,"1,036,546","190,359",40.689021971000045,-73.81142929899994,POINT (-73.81142929899994 40.689021971000045)
231352384,07/25/2021,02:30:00,BRONX,42,0,,true,,,,25-44,M,BLACK HISPANIC,"1,009,986","239,867",40.82502579900005,-73.90701137799994,POINT (-73.90701137799994 40.82502579900005)
228557511,05/22/2021,22:11:00,BRONX,41,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK HISPANIC,"1,013,775","238,190",40.820411060000026,-73.89332824199995,POINT (-73.89332824199995 40.820411060000026)
227730194,05/04/2021,23:38:00,BRONX,44,0,,false,,,,<18,M,BLACK,"1,006,857","242,197",40.83142954400005,-73.918309315,POINT (-73.918309315 40.83142954400005)
226598085,04/06/2021,16:10:00,BROOKLYN,70,0,,false,,,,25-44,F,BLACK HISPANIC,"994,431","176,337",40.650683352000044,-73.96331128799993,POINT (-73.96331128799993 40.650683352000044)
232887625,08/28/2021,04:09:00,QUEENS,100,0,,true,,,,25-44,F,BLACK,"1,035,354","152,907",40.586231405000035,-73.81601112099996,POINT (-73.81601112099996 40.586231405000035)
230311078,07/01/2021,23:07:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,"999,061","229,912",40.79772716600007,-73.94650786199998,POINT (-73.94650786199998 40.79772716600007)
